Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness
0.22819823026657104,0.010884138755500315,0.2451881915330887,0.22297444939613345,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881617307663,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.2451881915330887,0.22297444939613345,0.22819823026657104,0.010884138755500315,0.29275497794151306
0.24518819153308868,0.22297444939613342,0.22819823026657104,0.010884138755500317,0.29275497794151306
